datasetName;numQuery;queryArea;minX;minY;maxX;maxY;areaint;cardinality;executionTime;mbrTests;mbrTests_class
dataset3;5;0.75;2.5;4.75;3.5;5.5;0.0;0.032312;41;81109;74382.0000000000-111573.0000000000
dataset3;1;1.75;5.5;7.75;6.5;9.5;0.0;0.058768;33;94717;74382.0000000000-111573.0000000000
dataset3;2;1.75;5.5;6.75;6.5;8.5;0.0;0.063012;39;147948;111573.0000000000-148764.0000000000
dataset3;3;1.75;5.5;5.75;6.5;7.5;1.25;0.063512;32;148793;148764.0000000000-185955.0000000000
dataset3;4;1.75;5.5;4.75;6.5;6.5;3.75;0.064016;39;150156;148764.0000000000-185955.0000000000
dataset3;5;1.75;5.5;3.75;6.5;5.5;6.25;0.063856;34;133977;111573.0000000000-148764.0000000000
dataset3;1;0.25;2.25;6.0;2.5;7.0;0.0;0.016574;32;77114;74382.0000000000-111573.0000000000
dataset3;2;0.25;2.5;6.0;2.75;7.0;0.0;0.017112;33;60186;37191.0000000000-74382.0000000000
dataset3;3;0.25;7.25;6.0;7.5;7.0;4.25;0.0172;34;58926;37191.0000000000-74382.0000000000
dataset3;4;0.25;7.5;6.0;7.75;7.0;4.5;0.01677;29;58926;37191.0000000000-74382.0000000000
dataset3;5;0.25;5.25;6.0;5.5;7.0;2.25;0.01708;36;112966;111573.0000000000-148764.0000000000
dataset3;1;1.25;1.5;3.5;2.75;4.5;0.0;0.038386;35;55579;37191.0000000000-74382.0000000000
dataset3;2;1.25;2.5;4.5;3.75;5.5;0.0;0.047394;104;81109;74382.0000000000-111573.0000000000
dataset3;3;1.25;3.5;5.5;4.75;6.5;0.75;0.047716;67;110214;74382.0000000000-111573.0000000000
dataset3;4;1.25;4.5;6.5;5.75;7.5;0.75;0.048242;45;92200;74382.0000000000-111573.0000000000
dataset3;5;1.25;5.5;7.5;6.75;8.5;0.0;0.04763;37;94717;74382.0000000000-111573.0000000000
dataset3;1;2.25;1.5;6.0;3.75;7.0;0.0;0.07394;30;171050;148764.0000000000-185955.0000000000
dataset3;2;2.25;6.25;6.0;8.5;7.0;3.25;0.074096;30;132259;111573.0000000000-148764.0000000000
dataset3;3;2.25;4.5;3.5;5.5;5.75;3.375;0.073548;34;97819;74382.0000000000-111573.0000000000
dataset3;4;2.25;4.5;7.25;5.5;9.5;0.0;0.074332;33;113268;111573.0000000000-148764.0000000000
dataset3;5;2.15;3.85;6.0;6.0;7.0;0.8500000000000001;0.075912;34;164899;148764.0000000000-185955.0000000000
dataset3;1;2.5;1.5;3.5;2.5;6.0;0.0;0.072544;36;60241;37191.0000000000-74382.0000000000
dataset3;2;2.5;7.5;3.5;8.5;6.0;9.0;0.072854;32;80026;74382.0000000000-111573.0000000000
dataset3;3;2.5;1.5;7.0;2.5;9.5;0.5;0.072254;33;96768;74382.0000000000-111573.0000000000
dataset3;4;2.5;7.5;7.0;8.5;9.5;0.0;0.072768;27;99666;74382.0000000000-111573.0000000000
dataset3;5;2.5;4.0;6.0;6.5;7.0;1.0;0.086396;28;185955;148764.0000000000-185955.0000000000
